Model,Amount of features,MSE,R2 Score
GradientBoostingRegressor,1,445.29360647509,0.7130254476219587
XGBRegressor,1,465.5504259380856,0.6999707088755106
LGBMRegressor,1,588.7873065015685,0.6205492931580809
RandomForestRegressor,1,423.1450062209505,0.727299366113729
GradientBoostingRegressor,2,355.50598180993416,0.77089010820251
XGBRegressor,2,333.4225710228343,0.7851220145974268
LGBMRegressor,2,440.8916393375851,0.7158623456382319
RandomForestRegressor,2,350.87910955620475,0.773871948890579
GradientBoostingRegressor,3,104.47890302966321,0.9326673772227996
XGBRegressor,3,106.8629463020464,0.9311309532971164
LGBMRegressor,3,133.33808927562146,0.9140687449170566
RandomForestRegressor,3,111.48822830181142,0.9281501374663842
GradientBoostingRegressor,4,63.97257400403866,0.9587721437668854
XGBRegressor,4,66.25564695440893,0.957300791318856
LGBMRegressor,4,78.94861827767404,0.9491206609265167
RandomForestRegressor,4,70.5567670042945,0.9545288853604238
GradientBoostingRegressor,5,53.092548427889,0.9657839005587536
XGBRegressor,5,48.758414429976476,0.9685770827331915
LGBMRegressor,5,58.46688244718401,0.96232034959577
RandomForestRegressor,5,61.26329798691856,0.9605181676508485
GradientBoostingRegressor,6,48.38022348592571,0.9688208122080912
XGBRegressor,6,47.350179028989416,0.9694846361270977
LGBMRegressor,6,60.36993814377697,0.9610939036088101
RandomForestRegressor,6,61.313053028935265,0.9604861024455466
GradientBoostingRegressor,7,49.42980326480328,0.9681443985276598
XGBRegressor,7,47.47621919820857,0.9694034080999772
LGBMRegressor,7,59.62170753934689,0.9615761093707154
RandomForestRegressor,7,61.81880064512357,0.9601601676158938
GradientBoostingRegressor,8,54.168882559426976,0.9650902447300692
XGBRegressor,8,52.52455530009136,0.9661499502195466
LGBMRegressor,8,64.58671142645869,0.958376355888203
RandomForestRegressor,8,63.7891917147915,0.9588903265784181
GradientBoostingRegressor,9,47.94616113298919,0.9691005486508041
XGBRegressor,9,45.80917162564952,0.9704777559549015
LGBMRegressor,9,50.22226725928502,0.9676336860521488
RandomForestRegressor,9,55.896977972174284,0.9639765538970358
GradientBoostingRegressor,10,43.6810960510897,0.9718492185731732
XGBRegressor,10,45.27991943924588,0.9708188385733801
LGBMRegressor,10,46.87581938200208,0.9697903426213768
RandomForestRegressor,10,54.35632873697707,0.9649694428992879
GradientBoostingRegressor,11,41.17094116558816,0.9734669165688139
XGBRegressor,11,40.581488517104006,0.9738467960628983
LGBMRegressor,11,41.74784200215281,0.9730951262333312
RandomForestRegressor,11,51.992510279445696,0.966492832711962
GradientBoostingRegressor,12,41.503055394805024,0.9732528817592365
XGBRegressor,12,38.994625253479306,0.9748694682237871
LGBMRegressor,12,41.83045703804782,0.9730418840295337
RandomForestRegressor,12,49.24138286377572,0.9682658282078921
GradientBoostingRegressor,13,37.00409623264814,0.9761522873939754
XGBRegressor,13,42.849766793133426,0.9723849782117839
LGBMRegressor,13,44.83325052032063,0.9711066994615802
RandomForestRegressor,13,50.868538668635246,0.9672171890584436
GradientBoostingRegressor,14,36.57182316593947,0.9764308707107353
XGBRegressor,14,40.587704369790195,0.9738427901856157
LGBMRegressor,14,44.7472182998219,0.9711621439090385
RandomForestRegressor,14,53.245270528398564,0.9656854770561596
GradientBoostingRegressor,15,37.44023423926187,0.975871213272535
XGBRegressor,15,39.97964992599142,0.9742346578192247
LGBMRegressor,15,44.375811663555844,0.9714015011592726
RandomForestRegressor,15,54.33159386631968,0.9649853835692904
GradientBoostingRegressor,16,37.051797210813966,0.9761215459535907
XGBRegressor,16,38.95877366271641,0.9748925731910753
LGBMRegressor,16,45.33815516509034,0.9707813078944896
RandomForestRegressor,16,52.657170684046065,0.966064484720165
GradientBoostingRegressor,17,39.028344624233014,0.9748477373900455
XGBRegressor,17,38.438381360239845,0.9752279459561287
LGBMRegressor,17,43.585881348857285,0.9719105807758989
RandomForestRegressor,17,52.94983451833402,0.9658758741683386
GradientBoostingRegressor,18,37.075725314751764,0.9761061252136184
XGBRegressor,18,38.261967670129195,0.9753416377743285
LGBMRegressor,18,41.50096852725951,0.9732542266648697
RandomForestRegressor,18,52.39561829302855,0.9662330451469132
GradientBoostingRegressor,19,37.49070706708711,0.9758386854819676
XGBRegressor,19,37.9910105831564,0.975516259164838
LGBMRegressor,19,42.33371113915832,0.9727175561741624
RandomForestRegressor,19,52.795276585951164,0.9659754807937586
GradientBoostingRegressor,20,36.02367873073993,0.976784128654803
XGBRegressor,20,39.23945299051457,0.9747116861913847
LGBMRegressor,20,42.73654609672076,0.9724579445831858
RandomForestRegressor,20,53.329877067454156,0.9656309514053965
GradientBoostingRegressor,21,37.04438971397844,0.9761263197995604
XGBRegressor,21,35.86207319900803,0.9768882771861455
LGBMRegressor,21,41.597536585726836,0.9731919922762557
RandomForestRegressor,21,55.390777284926365,0.9643027807135094
GradientBoostingRegressor,22,37.26995314846061,0.975980952867042
XGBRegressor,22,35.22122807932561,0.9773012771454764
LGBMRegressor,22,41.762171171315686,0.9730858916365468
RandomForestRegressor,22,52.16509698050387,0.9663816072405822
GradientBoostingRegressor,23,35.60089845440594,0.9770565942343464
XGBRegressor,23,34.64508368227323,0.9776725799848727
LGBMRegressor,23,41.8314311684432,0.9730412562400705
RandomForestRegressor,23,52.317948280492026,0.9662831004739081
GradientBoostingRegressor,24,36.605498520105286,0.9764091682439866
XGBRegressor,24,34.225782226860964,0.9779428035985259
LGBMRegressor,24,44.03375983506655,0.9716219403682427
RandomForestRegressor,24,54.45951674919936,0.9649029422058406
