Amount of features,MSE,Rate,Depth,Eta,Gamma,Lambda,Alpha
4.0,77.84698803857205,0.05,7.0,0.1,0.0,1.0,0.04
5.0,64.31281746822401,0.15,6.0,0.1,0.0,1.0,0.1
4.0,82.20603148383488,0.1,6.0,0.1,0.0,2.0,0.1
5.0,65.86155860744587,0.15,6.0,0.1,0.0,2.0,0.0
6.0,64.05028019822095,0.05,7.0,0.1,0.0,1.0,0.04
7.0,51.45490520233609,0.15,5.0,0.1,0.0,0.0,0.1
8.0,51.80279523633367,0.1,7.0,0.1,0.0,1.0,0.0
9.0,52.76420040339988,0.15,5.0,0.1,0.0,1.0,0.1
10.0,54.70548533065255,0.05,5.0,0.1,0.0,1.0,0.1
11.0,54.37234988765624,0.05,6.0,0.1,0.0,1.0,0.04
12.0,54.96492302587876,0.05,7.0,0.1,0.0,2.0,0.1
13.0,55.72029791211769,0.05,7.0,0.1,0.0,2.0,0.0
14.0,57.39208161140596,0.05,6.0,0.1,0.0,1.0,0.1
